ID,Name,Type
1,หมู,เนื้อสัตว์
2,ไก่,เนื้อสัตว์
3,ปลาหมึก,เนื้อสัตว์
4,พริกแกง,เครื่องปรุง
5,พริกหยวก,ผัก
6,หมูกรอบ,เนื้อสัตว์
7,คอหมู,เนื้อสัตว์
8,กุ้ง,เนื้อสัตว์
9,พริกไทยสด,เครื่องปรุง
10,แตงกวา,ผัก
11,เลือดหมู,เครื่องใน
12,ผักชี,ผัก
13,เส้นเล็ก,เส้น
14,เส้นใหญ่,เส้น
15,เส้นหมี่,เส้น
16,เส้นบะหมี่,เส้น
17,พริกเผา,เครื่องปรุง
18,ถั่วบด,เครื่องปรุง
19,ลูกชิ้น,แป้ง
20,ปลาหมึกกรอบ,เนื้อสัตว์
21,เห็ดหูหนูขาว,เห็ด
22,เห็ดหูหนูดำ,เเห็ด
23,น้ำจิ้มเย็นตาโฟ,เครื่องปรุง
24,กะเพรา,ผัก
25,พริกบด,เครื่องปรุง
26,ไข่,เนื้อสัตว์
27,ข้าว,แป้ง
28,แครอท,ผัก
29,ไก่กรอบ,เนื้อสัตว์
30,กระเทียม,เครื่องปรุง
31,พริกไทย,เครื่องปรุง
32,ตะไคร้,ผัก
33,ใบมะกรูด,ผัก
34,เห็ดฟาง,เห็ด
35,เส้นมาม่า,เส้น
36,ถั่วฝักยาว,ผัก
37,ข้าวโพดอ่อน,ผัก
38,หัวหอม,ผัก
39,ข่า,ผัก
40,พริกไทยดำ,เครื่องปรุง